celda,latitud,longitud,azimuth_efvo,tilt_mec,tilt_elec,ancho_horiz,ancho_vert,ganancia_dbi,cota_terreno,config_puertos_r,config_puertos_t
ACARRIB11,-25.075616,-65.490972,0,0,2,66,13,13.7555625,1167.83,2,2
ACARRIB12,-25.075616,-65.490972,120,0,2,66,13,13.7555625,1167.83,2,2
ACARRIB13,-25.075616,-65.490972,240,0,2,66,13,13.7555625,1167.83,2,2
ACARRIH11,-25.075616,-65.490972,0,0,2,66,13,13.7555625,1167.83,2,1
ACARRIH12,-25.075616,-65.490972,120,0,2,66,13,13.7555625,1167.83,2,1
ACARRIH13,-25.075616,-65.490972,240,0,2,66,13,13.7555625,1167.83,2,1
ACARRIL11,-25.075616,-65.490972,1,0,2,68,6,16.941818181818,1167.83,4,4
ACARRIL12,-25.075616,-65.490972,121,0,2,68,6,16.941818181818,1167.83,4,4
ACARRIL13,-25.075616,-65.490972,241,0,2,68,6,16.941818181818,1167.83,2,4
ACARRIM11,-25.075616,-65.490972,0,0,2,64,5,16.847862407862,1167.83,4,4
ACARRIM12,-25.075616,-65.490972,120,0,2,64,5,16.847862407862,1167.83,4,4
ACARRIM13,-25.075616,-65.490972,240,0,2,64,5,16.847862407862,1167.83,4,4
ACARRIN11,-25.075616,-65.490972,0,0,2,66,13,13.7555625,1167.83,4,4
ACARRIN12,-25.075616,-65.490972,120,0,2,66,13,13.7555625,1167.83,4,4
ACARRIN13,-25.075616,-65.490972,240,0,2,66,13,13.7555625,1167.83,4,4
ACARRIO11,-25.075616,-65.490972,0,0,2,66,13,13.7555625,1167.83,4,4
ACARRIO12,-25.075616,-65.490972,120,0,2,66,13,13.7555625,1167.83,4,4
ACARRIO13,-25.075616,-65.490972,240,0,2,66,13,13.7555625,1167.83,4,4
ACARRIV11,-25.075616,-65.490972,0,0,2,66,13,13.7555625,1167.83,2,1
ACARRIV12,-25.075616,-65.490972,120,0,2,66,13,13.7555625,1167.83,2,1
ACARRIV13,-25.075616,-65.490972,240,0,2,66,13,13.7555625,1167.83,2,1
